GeneID	Ensembl_protein_identifier
11746	ENSMUSP00000109305.2
11746	ENSMUSP00000115346.2
11746	-
11746	ENSMUSP00000001187.9
11746	ENSMUSP00000138194.2
11747	ENSMUSP00000029266.9
11749	ENSMUSP00000099788.3
11749	ENSMUSP00000104511.4
11750	ENSMUSP00000066035.10
11750	ENSMUSP00000098405.6
11750	ENSMUSP00000153669.2
11752	ENSMUSP00000113662.2
11752	ENSMUSP00000022519.9
11754	ENSMUSP00000099394.4
11757	ENSMUSP00000025961.7
11758	ENSMUSP00000050703.5
11758	ENSMUSP00000071636.6
11761	ENSMUSP00000001027.7
11764	ENSMUSP00000099134.3
11764	ENSMUSP00000009234.10
11765	ENSMUSP00000034171.9
11765	ENSMUSP00000090844.7
11766	ENSMUSP00000043996.9
11767	ENSMUSP00000003117.9
11768	ENSMUSP00000111093.4
11768	ENSMUSP00000003397.8
11769	ENSMUSP00000106709.2
11770	ENSMUSP00000029041.5
11771	ENSMUSP00000103489.4
11771	ENSMUSP00000127842.2
11772	ENSMUSP00000003038.9
11773	ENSMUSP00000087477.7
11773	ENSMUSP00000007216.9
11774	ENSMUSP00000022196.4
11775	ENSMUSP00000080739.8
11775	ENSMUSP00000158658.2
11776	ENSMUSP00000020420.8
11777	ENSMUSP00000153388.2
11777	ENSMUSP00000025357.8
11778	ENSMUSP00000075082.7
11781	ENSMUSP00000019662.5
11782	ENSMUSP00000151472.2
11782	ENSMUSP00000021338.9
11783	ENSMUSP00000020157.7
11783	ENSMUSP00000124134.2
11783	ENSMUSP00000125291.2
11784	ENSMUSP00000146038.2
11784	ENSMUSP00000032732.9
11785	ENSMUSP00000140116.2
11785	ENSMUSP00000140979.2
11785	ENSMUSP00000140486.2
11785	ENSMUSP00000139899.2
11785	ENSMUSP00000140973.2
11785	ENSMUSP00000139575.2
11785	ENSMUSP00000139788.2
11787	ENSMUSP00000123978.3
11787	ENSMUSP00000124807.2
11787	ENSMUSP00000125211.3
11787	-
11787	ENSMUSP00000125116.2
11787	ENSMUSP00000123752.3
11789	ENSMUSP00000111447.4
11789	ENSMUSP00000078337.6
11790	ENSMUSP00000141009.2
11790	ENSMUSP00000109220.2
11790	ENSMUSP00000109219.2
11790	ENSMUSP00000084361.6
11790	ENSMUSP00000109217.2
11792	ENSMUSP00000042602.6
11793	ENSMUSP00000044769.5
11796	ENSMUSP00000013949.9
11797	ENSMUSP00000140049.2
11797	ENSMUSP00000091422.5
11798	ENSMUSP00000110747.3
11798	ENSMUSP00000061074.4
11798	ENSMUSP00000110746.2
11798	-
11799	ENSMUSP00000091433.5
11799	ENSMUSP00000079124.5
11800	ENSMUSP00000028617.7
11801	ENSMUSP00000015998.7
11803	ENSMUSP00000006828.8
11804	ENSMUSP00000072428.8
11804	ENSMUSP00000078694.8
11804	ENSMUSP00000149732.2
11804	ENSMUSP00000149023.2
11806	ENSMUSP00000034588.9
11807	ENSMUSP00000106953.2
11807	ENSMUSP00000106952.2
11807	ENSMUSP00000005824.6
11808	ENSMUSP00000034585.7
11810	ENSMUSP00000108204.2
11810	ENSMUSP00000108205.2
11811	ENSMUSP00000047402.4
11812	ENSMUSP00000045571.5
11812	ENSMUSP00000104091.3
11813	ENSMUSP00000115173.2
11813	ENSMUSP00000118291.2
11814	ENSMUSP00000113126.2
11814	ENSMUSP00000113058.2
11814	-
11814	ENSMUSP00000034586.3
11815	ENSMUSP00000110885.2
11815	ENSMUSP00000119827.2
11816	ENSMUSP00000133371.2
11816	ENSMUSP00000133302.2
11818	ENSMUSP00000000049.6
11819	ENSMUSP00000032768.8
11819	ENSMUSP00000086993.6
11820	ENSMUSP00000154061.2
11820	ENSMUSP00000154389.2
11820	ENSMUSP00000153907.2
11820	ENSMUSP00000154097.2
11820	ENSMUSP00000005406.11
11820	ENSMUSP00000154401.2
11821	ENSMUSP00000006764.8
11826	ENSMUSP00000004774.4
11827	ENSMUSP00000023752.5
11828	ENSMUSP00000055110.8
11829	ENSMUSP00000159185.2
11829	ENSMUSP00000157337.2
11829	ENSMUSP00000157152.2
11829	ENSMUSP00000157239.2
11829	ENSMUSP00000157347.2
11829	ENSMUSP00000157000.2
11829	ENSMUSP00000157060.2
11829	ENSMUSP00000078088.7
11830	ENSMUSP00000127611.2
11831	ENSMUSP00000023754.6
11832	ENSMUSP00000093007.4
11832	ENSMUSP00000030136.7
11833	ENSMUSP00000033023.5
11833	ENSMUSP00000095664.6
11834	ENSMUSP00000099602.5
11834	-
11834	ENSMUSP00000047157.7
11835	ENSMUSP00000052648.8
11836	ENSMUSP00000112513.2
11836	ENSMUSP00000001155.5
